Family|Subcategory|Product|Slug|Applications|Typical Spec|Grades / Forms|Overview|Technical Notes|Documentation|Datasheet|Image File|Company Image
Adsorbents|Molecular Sieves|Molecular Sieve 3A|molecular-sieve-3a|Solvent drying, air dehydration, cracked gas polishing|Aperture 3Å; high crush strength; low water uptake|Beads, pellets|A 3A molecular sieve is used where only water must be removed while avoiding co-adsorption of larger molecules.|Preferred for drying of solvents and compressed air; regeneration conditions depend on operating temperature and cycle design.|CoA, TDS, MSDS available on request|/assets/datasheets/molecular-sieve-3a.pdf|/assets/images/molecular-sieve-3a.jpg|/assets/images/company-facility-1.jpg
Adsorbents|Molecular Sieves|Molecular Sieve 4A|molecular-sieve-4a|Natural gas drying, air dehydration, oxygen PSA, insulation air|Aperture 4Å; strong adsorption capacity; stable bead structure|Beads, pellets|A general-purpose adsorbent for dehydration and removal of polar contaminants in gas and liquid systems.|Commonly selected where moisture removal and selective adsorption are needed without heavy chemical exposure.|CoA, TDS, MSDS available on request|Suitable for process drying where a proven industrial-grade 4A sieve is required.|assets/images/molecular-sieve-4a.svg
Adsorbents|Molecular Sieves|Molecular Sieve 5A|molecular-sieve-5a|Hydrocarbon separation, hydrogen purification, LPG drying|Aperture 5Å; selective adsorption for n-paraffins; stable adsorption profile|Beads, pellets|5A molecular sieve is used where selective adsorption of linear hydrocarbons and moisture removal are required in one step.|Use where product separation and purification performance must be matched to process gas composition and cycle design.|CoA, TDS, MSDS available on request|Recommended for hydrocarbon drying and separation systems where 4A is too restrictive.|assets/images/molecular-sieve-5a.svg
Adsorbents|Molecular Sieves|Molecular Sieve 13X|molecular-sieve-13x|CO2 removal, gas drying, hydrogen treatment, air separation|Aperture 10Å; high adsorption capacity for polar compounds and moisture|Beads, pellets|13X provides higher pore access and higher moisture and CO2 capacity for demanding drying and purification duties.|Suitable for systems needing broader adsorption capacity, especially where higher moisture or CO2 loading is expected.|CoA, TDS, MSDS available on request|Use where a higher-capacity adsorbent is needed beyond the selectivity range of 4A or 5A.|assets/images/molecular-sieve-13x.svg
Adsorbents|Activated Alumina|Activated Alumina|activated-alumina|Compressed air drying, fluoride removal, hydrogen and natural gas dehydration|High surface area; low dust; high crush strength; broad adsorption range|Granules, pellets|Activated alumina is a durable adsorbent for drying and fluoride removal in industrial utilities and process plants.|Temperature and regeneration cycle should be matched to service conditions; suitable for high-throughput beds.|CoA, TDS, MSDS available on request|Preferred where high strength, low dust media are needed for continuous drying or defluoridation duties.|assets/images/activated-alumina.svg
Adsorbents|Activated Carbon|GAC / PAC|activated-carbon|Water purification, dechlorination, odor control, solvent recovery|Iodine value, mesh size, ash content, adsorption profile|Granular, powder|Granular and powdered activated carbon are used where adsorption of dissolved organics, color, odor, or residual chlorine is required.|Select grade and particle size based on contact time, loading, and downstream treatment design.|CoA, TDS, MSDS available on request|Use in polishing, dechlorination, and solvent recovery systems requiring high adsorption performance.|assets/images/activated-carbon.svg
Adsorbents|Silica Gel|Silica Gel Desiccant|silica-gel|Packaging protection, compressed air drying, transformer protection, moisture control|High low-humidity adsorption capacity; stable bead or granule form|Beads, granules|Silica gel is used as a desiccant to control moisture in storage, packaging, and process air applications.|Appreciated for dry storage and low humidity systems where rapid moisture pickup is needed.|CoA, TDS, MSDS available on request|Recommended for moisture control in enclosed systems where low-humidity protection is critical.|assets/images/silica-gel.svg
Adsorbents|Specialty Media|Bleaching Earth|bleaching-earth|Edible oil refining, decolorization, wax polishing|Bleaching efficiency, moisture, oil retention, particle size distribution|Powder, granules|Bleaching earth is used for decolorization and impurity removal in refining and polishing lines.|Select the grade based on oil type, contact time, and desired bleaching efficiency.|CoA, TDS, MSDS available on request|Use where color removal and adsorption of residual impurities are required in refining operations.|assets/images/bleaching-earth.svg
Water Treatment|Coagulants & Flocculants|PAC / Alum / Ferric|coagulants-flocculants|Wastewater clarification, suspended solids removal, process water conditioning|Stable liquor, consistent dosage efficiency, strong clarification performance|Liquid, powder|Coagulants and flocculants are used to destabilize colloids and improve solids separation in water and wastewater systems.|Product choice depends on influent quality, pH, alkalinity, and clarification objective.|CoA, TDS, MSDS available on request|Recommended for municipal and industrial water treatment plants where reliable clarification is required.|assets/images/coagulants-flocculants.svg
Water Treatment|Ion Exchange|Strong Acid Cation / Anion Resins|ion-exchange|Softening, demineralization, boiler feed water treatment|Uniform bead size, exchange capacity, low fines, process stability|Beads|Ion exchange resins are used for softening, demineralization, and polishing in boiler and process water systems.|Select resin type and bead size from the process water analysis and operating cycle requirements.|CoA, TDS, MSDS available on request|Use for water treatment systems where controlled demineralization or softening is required.|assets/images/ion-exchange.svg
Water Treatment|Antiscalants / Process Chemicals|Antiscalants, scale inhibitors|antiscalants|RO pretreatment, cooling tower treatment, boiler water stabilization|Dosage optimization, compatibility, scale suppression performance|Liquid, powder|Antiscalants and related process chemicals support scale control in RO and cooling water systems.|Use in combination with water analysis and pretreatment strategy for stable plant performance.|CoA, TDS, MSDS available on request|Recommended when scaling risk is linked to hardness, silica, or calcium loading in process utilities.|assets/images/antiscalants.svg
Process Media|Tower Packings & Support Media|Ceramic Balls, Raschig Rings, Catalyst Support Media|process-media|Mass transfer, support layers, catalyst bed support, structural media|Hardness, size distribution, void ratio, load-bearing strength|Ceramic, metal, plastic|Support media and tower packings provide bed stability, contact surface, and distribution characteristics for process systems.|Choose by media shape, void ratio, and operating temperature/pressure requirements.|CoA, TDS, MSDS available on request|Use where physical support and contact area are required in tower or reactor systems.|assets/images/catalyst-support.svg
